trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
57010020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10015152,shp-100-02,1
56002020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10010100,shp-100-02,1
53772070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
59358070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10010101,shp-100-02,1
5746020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
59679020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
56251010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
59948020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
52952010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
44665070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1008870,shp-100-02,1
56499020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
4469010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
53292010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
42250010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
49755070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
42882070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
49776010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
46409070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
53436020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
45719020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10030132,shp-100-02,1
50118070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
46146020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
52500010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
46187020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10012122,shp-100-02,1
49155020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10011112,shp-100-02,1
46858010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
49172020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
50342020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
4926010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
50396020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
51892070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
50611020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10012121,shp-100-02,1
